Tipo,Simbolo,Nome,Note,Spiegazione
"Accordi di 7ª Dominante","C7","Do settima","Do Mi Sol Sib","Accordo di settima di dominante: triade maggiore + settima minore"
"Accordi di 7ª Dominante","C#7","Do diesis settima","Do# Mi# Sol# Si","Accordo di settima di dominante: triade maggiore + settima minore"
"Accordi di 7ª Dominante","Db7","Re bemolle settima","Reb Fa Lab Dob","Accordo di settima di dominante: triade maggiore + settima minore"
"Accordi di 7ª Dominante","D7","Re settima","Re Fa# La Do","Accordo di settima di dominante: triade maggiore + settima minore"
"Accordi di 7ª Dominante","Eb7","Mi bemolle settima","Mib Sol Sib Reb","Accordo di settima di dominante: triade maggiore + settima minore"
"Accordi di 7ª Dominante","E7","Mi settima","Mi Sol# Si Re","Accordo di settima di dominante: triade maggiore + settima minore"
"Accordi di 7ª Dominante","F7","Fa settima","Fa La Do Mib","Accordo di settima di dominante: triade maggiore + settima minore"
"Accordi di 7ª Dominante","F#7","Fa diesis settima","Fa# La# Do# Mi","Accordo di settima di dominante: triade maggiore + settima minore"
"Accordi di 7ª Dominante","Gb7","Sol bemolle settima","Solb Sib Reb Fab","Accordo di settima di dominante: triade maggiore + settima minore"
"Accordi di 7ª Dominante","G7","Sol settima","Sol Si Re Fa","Accordo di settima di dominante: triade maggiore + settima minore"
"Accordi di 7ª Dominante","Ab7","La bemolle settima","Lab Do Mib Solb","Accordo di settima di dominante: triade maggiore + settima minore"
"Accordi di 7ª Dominante","A7","La settima","La Do# Mi Sol","Accordo di settima di dominante: triade maggiore + settima minore"
"Accordi di 7ª Dominante","Bb7","Si bemolle settima","Sib Re Fa Lab","Accordo di settima di dominante: triade maggiore + settima minore"
"Accordi di 7ª Dominante","B7","Si settima","Si Re# Fa# La","Accordo di settima di dominante: triade maggiore + settima minore"
"Accordi di 7ª Dominante","C7/B","Do settima terza inversione","Sib Do Mi Sol","Terza inversione: la settima (Sib) al basso"
"Accordi di 7ª Dominante","D7/C#","Re settima terza inversione","Do Re Fa# La","Terza inversione: la settima (Do) al basso"
"Accordi di 7ª Dominante","E7/D#","Mi settima terza inversione","Re Mi Sol# Si","Terza inversione: la settima (Re) al basso"
"Accordi di 7ª Dominante","F7/E","Fa settima terza inversione","Mib Fa La Do","Terza inversione: la settima (Mib) al basso"
"Accordi di 7ª Dominante","G7/F#","Sol settima terza inversione","Fa Sol Si Re","Terza inversione: la settima (Fa) al basso"
"Accordi di 7ª Dominante","A7/G#","La settima terza inversione","Sol La Do# Mi","Terza inversione: la settima (Sol) al basso"
"Accordi di 7ª Dominante","Bb7/A","Si bemolle settima terza inversione","Lab Sib Re Fa","Terza inversione: la settima (Lab) al basso"
"Accordi di 7ª Dominante","B7/A#","Si settima terza inversione","La Si Re# Fa#","Terza inversione: la settima (La) al basso"
"Accordi di 7ª Dominante","C9","Do nona","Do Mi Sol Sib Re","Accordo di nona: settima di dominante + nona maggiore"
"Accordi di 7ª Dominante","C#9","Do diesis nona","Do# Mi# Sol# Si Re#","Accordo di nona: settima di dominante + nona maggiore"
"Accordi di 7ª Dominante","Db9","Re bemolle nona","Reb Fa Lab Dob Mib","Accordo di nona: settima di dominante + nona maggiore"
"Accordi di 7ª Dominante","D9","Re nona","Re Fa# La Do Mi","Accordo di nona: settima di dominante + nona maggiore"
"Accordi di 7ª Dominante","Eb9","Mi bemolle nona","Mib Sol Sib Reb Fa","Accordo di nona: settima di dominante + nona maggiore"
"Accordi di 7ª Dominante","E9","Mi nona","Mi Sol# Si Re Fa#","Accordo di nona: settima di dominante + nona maggiore"
"Accordi di 7ª Dominante","F9","Fa nona","Fa La Do Mib Sol","Accordo di nona: settima di dominante + nona maggiore"
"Accordi di 7ª Dominante","F#9","Fa diesis nona","Fa# La# Do# Mi Sol#","Accordo di nona: settima di dominante + nona maggiore"
"Accordi di 7ª Dominante","Gb9","Sol bemolle nona","Solb Sib Reb Fab Lab","Accordo di nona: settima di dominante + nona maggiore"
"Accordi di 7ª Dominante","G9","Sol nona","Sol Si Re Fa La","Accordo di nona: settima di dominante + nona maggiore"
"Accordi di 7ª Dominante","Ab9","La bemolle nona","Lab Do Mib Solb Sib","Accordo di nona: settima di dominante + nona maggiore"
"Accordi di 7ª Dominante","A9","La nona","La Do# Mi Sol Si","Accordo di nona: settima di dominante + nona maggiore"
"Accordi di 7ª Dominante","Bb9","Si bemolle nona","Sib Re Fa Lab Do","Accordo di nona: settima di dominante + nona maggiore"
"Accordi di 7ª Dominante","B9","Si nona","Si Re# Fa# La Do#","Accordo di nona: settima di dominante + nona maggiore"
"Accordi di 7ª Maggiore","Cmaj7","Do settima maggiore","Do Mi Sol Si","Settima maggiore: triade maggiore + settima maggiore"
"Accordi di 7ª Maggiore","C#maj7","Do diesis settima maggiore","Do# Mi# Sol# Si#","Settima maggiore: triade maggiore + settima maggiore"
"Accordi di 7ª Maggiore","Dbmaj7","Re bemolle settima maggiore","Reb Fa Lab Do","Settima maggiore: triade maggiore + settima maggiore"
"Accordi di 7ª Maggiore","Dmaj7","Re settima maggiore","Re Fa# La Do#","Settima maggiore: triade maggiore + settima maggiore"
"Accordi di 7ª Maggiore","Ebmaj7","Mi bemolle settima maggiore","Mib Sol Sib Re","Settima maggiore: triade maggiore + settima maggiore"
"Accordi di 7ª Maggiore","Emaj7","Mi settima maggiore","Mi Sol# Si Re#","Settima maggiore: triade maggiore + settima maggiore"
"Accordi di 7ª Maggiore","Fmaj7","Fa settima maggiore","Fa La Do Mi","Settima maggiore: triade maggiore + settima maggiore"
"Accordi di 7ª Maggiore","F#maj7","Fa diesis settima maggiore","Fa# La# Do# Mi#","Settima maggiore: triade maggiore + settima maggiore"
